"","ID","Jan","Feb","Mar","Apr","May","Jun","Jul","Aug","Sep","Oct","Nov","Dec"
"1",1,22.6,25.3,31.2,35.4,38.4,35.4,33.2,33.3,32.8,33.3,28.4,24.1
"2",2,23.1,26.1,32,37.5,39.7,36.1,33.5,33.2,33.1,33.6,28.6,24.7
"3",3,23.7,26.3,31.5,36.7,38.7,35.6,33.6,32.9,33.1,33.1,28.5,25.3
"4",4,22.9,25.6,31.2,35.8,38.5,35.5,33.6,33.2,33.1,33.3,28.5,24.4
"5",5,23,26,31.6,36.6,38.9,35.8,33.7,33.3,33.3,33.5,28.3,24.6
"6",6,22.7,25.4,31.3,35.7,38.5,35.4,33.3,33.3,32.9,33.3,28.4,24.3
"7",7,22.8,25.9,31.9,37.2,39.2,36.1,33.4,33.2,32.9,33.3,28.3,24.6
"8",8,23.7,26.3,31.5,36.7,38.7,35.6,33.6,32.9,33.1,33.1,28.5,25.3
"9",9,24.1,26.8,31,32.7,32.6,32.8,32.1,33.2,32.1,33.3,28.8,25.2
"10",10,23.5,26.3,31.5,37.1,39.1,36.1,33.7,33.2,33.3,33.7,28.8,25.2
"11",11,24.4,27.1,31.9,33.8,33.4,33.2,32.4,33.2,33,33.9,28.9,25.7
"12",12,23.7,26.3,31.5,36.7,38.7,35.6,33.6,32.9,33.1,33.1,28.5,25.3
"13",13,23,26.4,32.2,37.4,39.2,36.2,33.5,33.2,33,33.3,28.3,24.7
"14",14,23.7,26.3,31.5,36.7,38.7,35.6,33.6,32.9,33.1,33.1,28.5,25.3
"15",15,23.8,26.4,31.5,33.8,33.4,33.1,32.1,33,32.3,33.2,28.6,25.3
"16",16,23.6,26.3,31.2,33.5,33.5,33.2,32,32.9,32,33.2,28.4,25.1
"17",17,23,26.4,32.2,37.4,39.2,36.2,33.5,33.2,33,33.3,28.3,24.7
"18",18,24.4,27.1,31.9,33.8,33.4,33.2,32.4,33.2,33,33.9,28.9,25.7
"19",19,23,26.4,32.2,37.4,39.2,36.2,33.5,33.2,33,33.3,28.3,24.7
"20",20,24.3,26.7,31.5,33.7,33.6,33.3,32.4,33.1,33.1,34.1,29,25.6
"21",21,24.1,26.7,32,33.5,33.2,32.9,31.8,33,32.1,33.1,28.4,25.2
"22",22,24.1,26.7,32,33.5,33.2,32.9,31.8,33,32.1,33.1,28.4,25.2
"23",23,24.1,26.7,31.1,32.8,32.6,32.8,32.1,33.2,32.3,33.4,28.8,25.3
"24",24,24.1,26.8,31,32.7,32.6,32.8,32.1,33.2,32.1,33.3,28.8,25.2
"25",25,22.6,25.8,31.6,36.4,38.8,35.8,33.5,33.2,33.2,33.4,28.2,24.5
"26",26,24.1,26.7,31.1,32.8,32.6,32.8,32.1,33.2,32.3,33.4,28.8,25.3
"27",27,23.5,26.2,31.1,33.6,33.5,33.2,32.2,33,32.1,33.3,28.5,25
"28",28,23.1,26.1,32,37.5,39.7,36.1,33.5,33.2,33.1,33.6,28.6,24.7
"29",29,23.7,26.3,31.5,36.7,38.7,35.6,33.6,32.9,33.1,33.1,28.5,25.3
"30",30,22.6,25.8,31.8,37.2,39.2,36.1,33.4,33.2,33.1,33.5,28.4,24.5
