"","ID","Jan","Feb","Mar","Apr","May","Jun","Jul","Aug","Sep","Oct","Nov","Dec"
"1",1,10.1,15.2,19.6,25.7,27,27.8,25.9,26.8,25.9,22.5,15.1,11.4
"2",2,11,15.7,20,24.9,27.5,28.3,26,26.5,25.6,21.9,14.4,11.5
"3",3,10.6,15.8,19.6,24,26.2,27.4,25.3,26.1,25.1,21.6,14.9,11.3
"4",4,10.2,15.5,19.7,25.1,26.8,27.7,25.7,26.7,25.7,22.3,15.1,11.4
"5",5,10.4,15.7,19.7,24.5,26.7,27.9,25.9,26.6,25.6,21.8,14.4,11.3
"6",6,10.2,15.4,19.7,25.4,27,27.8,25.8,26.8,25.8,22.3,15,11.4
"7",7,10.7,15.5,20,24.8,27.1,28.3,26,26.5,25.4,21.6,14.1,11.2
"8",8,10.6,15.8,19.6,24,26.2,27.4,25.3,26.1,25.1,21.6,14.9,11.3
"9",9,10.2,14.4,17.8,21.5,23.4,25.6,25.5,26,25.1,22.3,14.6,11.8
"10",10,10.8,15.5,19.1,24,26.4,28,25.9,26.5,25.7,21.7,14.5,11.4
"11",11,9.8,14.9,18.8,21.6,23.6,25.7,25.8,26.5,25.8,22.7,14.7,11.2
"12",12,10.6,15.8,19.6,24,26.2,27.4,25.3,26.1,25.1,21.6,14.9,11.3
"13",13,10.8,15.7,20,24.6,26.8,28.2,25.9,26.4,25.5,21.5,14,11.2
"14",14,10.6,15.8,19.6,24,26.2,27.4,25.3,26.1,25.1,21.6,14.9,11.3
"15",15,10,14.4,18.5,21.4,23.6,25.5,25.4,26,25.2,22.3,14.5,11.8
"16",16,9.8,14.2,17.9,21.1,23.7,25.5,25.4,25.8,24.9,22.4,14.5,11.6
"17",17,10.8,15.7,20,24.6,26.8,28.2,25.9,26.4,25.5,21.5,14,11.2
"18",18,9.8,14.9,18.8,21.6,23.6,25.7,25.8,26.5,25.8,22.7,14.7,11.2
"19",19,10.8,15.7,20,24.6,26.8,28.2,25.9,26.4,25.5,21.5,14,11.2
"20",20,9.8,14.7,18.4,21.6,23.8,25.7,25.9,26.4,25.7,22.8,14.9,11.3
"21",21,9.9,14.4,18.5,21.5,23.6,25.3,25.3,25.9,25,22.1,14.4,11.5
"22",22,9.9,14.4,18.5,21.5,23.6,25.3,25.3,25.9,25,22.1,14.4,11.5
"23",23,10.2,14.4,17.7,21.4,23.4,25.6,25.5,26,25.2,22.4,14.5,11.7
"24",24,10.2,14.4,17.8,21.5,23.4,25.6,25.5,26,25.1,22.3,14.6,11.8
"25",25,10.4,15.5,19.9,24.9,27,28,25.8,26.7,25.6,21.9,14.5,11.3
"26",26,10.2,14.4,17.7,21.4,23.4,25.6,25.5,26,25.2,22.4,14.5,11.7
"27",27,9.8,14.2,17.9,21.3,23.7,25.7,25.6,25.9,25.1,22.6,14.6,11.6
"28",28,11,15.7,20,24.9,27.5,28.3,26,26.5,25.6,21.9,14.4,11.5
"29",29,10.6,15.8,19.6,24,26.2,27.4,25.3,26.1,25.1,21.6,14.9,11.3
"30",30,10.5,15.4,19.7,25,27.2,28.4,25.9,26.5,25.6,21.8,14.3,11.3
"31",31,10.4,15.8,19.6,24.3,26.5,27.6,25.4,26.4,25.4,21.8,15.2,11.4
"32",32,8.9,13.3,17,21.1,24.1,26.1,25.4,26.1,25.3,21.8,14.2,10.7
"33",33,9.9,15.1,19.2,25.4,27,28,26,26.9,26,22.3,14.9,11.5
"34",34,10.5,15.5,20.1,24.5,26.8,28.2,25.9,26.5,25.4,21.5,14,11.2
"35",35,10.2,15.6,19.8,24.9,26.8,27.6,25.6,26.6,25.6,22.1,15,11.3
"36",36,10.7,15.6,18.7,24,26.3,27.7,25.6,26.4,25.4,21.7,14.8,11.7
"37",37,10.2,14.6,18.9,21.6,23.6,25.5,25.6,25.9,25.5,22.8,14.8,11.9
"38",38,10.2,15.6,19.8,24.9,26.7,27.6,25.6,26.6,25.6,22.1,15.1,11.3
"39",39,10.4,15.7,19.7,24,26.4,27.5,25.4,26.4,25.3,21.6,14.9,11.3
"40",40,10.3,15.6,19.9,24.5,26.7,27.5,25.2,26.3,25.3,21.9,15.2,11.4
"41",41,10.2,15.6,19.8,24.9,26.7,27.6,25.6,26.6,25.6,22.1,15.1,11.3
"42",42,9.3,13.8,17.6,22.1,24.4,26.5,25.6,26.4,25.5,21.9,14.4,10.8
"43",43,10.4,15.7,19.7,24,26.4,27.5,25.4,26.4,25.3,21.6,14.9,11.3
"44",44,9.4,13.8,17.8,22.5,24.9,26.7,25.7,26.4,25.5,21.9,14.4,10.9
"45",45,10.9,15.7,20,24.4,26.8,28.1,25.9,26.4,25.4,21.5,14,11.2
"46",46,9.4,13.5,17.3,21.5,23.4,25.3,24.6,25,24.2,22.3,14.5,11.5
"47",47,9.7,13.7,17.6,22.2,24.8,26.4,25.9,26.3,25.1,22,14.8,11.2
"48",48,9.7,13.5,17.5,22,24.6,26.5,25.8,26.2,25,22.1,14.7,11
"49",49,9.5,13.7,17.6,21.7,24.2,26.3,25.7,26.2,25.2,22,14.6,11.2
"50",50,9.7,13.7,18,22.8,26,27.4,26,26.5,25.4,21.6,14.5,11.1
"51",51,9.7,13.8,18.3,22.7,25.5,27.3,25.9,26.7,25.7,21.6,13.9,10.4
"52",52,9.7,13.7,18,22.8,26,27.4,26,26.5,25.4,21.6,14.5,11.1
"53",53,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"54",54,11,15.6,20,23.3,25.3,26.5,26,26.4,25.5,22.6,15.5,12.3
"55",55,9.7,13.7,17.6,22.2,24.8,26.4,25.9,26.3,25.1,22,14.8,11.2
"56",56,9.9,15.1,19.2,25.5,26.7,27.4,25.9,26.8,25.8,22.3,14.9,11.5
"57",57,9.7,13.7,17.4,21.6,24.3,26.3,25.6,26,25,22.1,14.7,11.3
"58",58,10,14.8,18.9,23.9,26.8,28.5,26.4,26.9,25.8,21.3,14.2,10.8
"59",59,9.9,14.5,18.6,22.1,25.1,26.7,25.9,26.3,25.5,22.9,14.9,11.6
"60",60,10.3,14.8,19,21.5,23.7,25.8,25.7,26.2,25.6,23,15.1,12
"61",61,10.3,15.6,19.9,24.5,26.7,27.5,25.2,26.3,25.3,21.9,15.2,11.4
"62",62,9.5,13.8,17.8,21.3,23.7,25.2,24.9,25.3,24.8,22.4,14.2,11.4
"63",63,9.4,13.7,17.6,21.1,23.8,25.2,24.8,25.2,24.7,22.4,14.2,11.3
"64",64,10.3,15.6,19.9,24.5,26.7,27.5,25.2,26.3,25.3,21.9,15.2,11.4
"65",65,10.5,15,18.8,22.1,24,26.2,25.8,26.1,25.9,23.2,15.3,12
"66",66,9.7,13.7,17.5,21.5,23.5,25.3,25.1,25.2,24.9,22.4,14.5,11.5
"67",67,10.9,15.5,20,23.4,25.5,26.7,26.1,26.4,25.4,22.5,15.3,12.1
"68",68,11.1,15.8,20,23.2,25.3,26.5,26,26.3,25.4,22.6,15.3,12.2
"69",69,11.1,15.8,20,23.2,25.3,26.5,26,26.3,25.4,22.6,15.3,12.2
"70",70,11.3,15.9,19.9,23.7,26.1,26.9,25.8,26.1,25.5,22.7,15.4,12.1
"71",71,10.6,15.4,19.8,23.1,25.3,26.5,25.9,26.4,25.5,22.6,15.3,11.8
"72",72,10.6,15.4,19.8,23.1,25.3,26.5,25.9,26.4,25.5,22.6,15.3,11.8
"73",73,10.9,15.5,20,23.4,25.5,26.7,26.1,26.4,25.4,22.5,15.3,12.1
"74",74,10.9,15.5,20,23.4,25.5,26.7,26.1,26.4,25.4,22.5,15.3,12.1
"75",75,10.3,14.8,19.1,23.1,25.5,27.1,25.8,26.3,25.9,23.1,15.2,11.6
"76",76,9.3,14.1,18,21.6,23.7,25.6,25.5,26.1,25.2,22.6,14.7,11.3
"77",77,9.5,14.1,18.2,21.7,23.6,25.6,25.4,26.1,25.3,22.6,14.5,11.4
"78",78,9.8,14.5,18.4,21.8,24,25.8,25.8,26.4,25.4,22.5,14.9,11.1
"79",79,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"80",80,10.3,14.8,19.4,23.6,26,27.1,25.9,26.4,25.9,23,15.1,11.6
"81",81,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"82",82,9.3,14,18,21.7,23.6,25.6,25.5,26.1,25.3,22.6,14.6,11.4
"83",83,10.3,14.8,19.9,24.3,26.4,27.7,26.2,26.5,25.9,23.1,15.2,11.6
"84",84,10.3,14.8,19.1,23.1,25.5,27.1,25.8,26.3,25.9,23.1,15.2,11.6
"85",85,9.2,13.6,17.4,21.5,24.2,26.2,25.5,26.3,25.3,21.9,14.4,10.8
"86",86,9.3,14.1,18,21.7,23.7,25.6,25.4,26.1,25.4,22.6,14.7,11.4
"87",87,10,15.1,19.4,25.6,27.3,28,26,26.9,26,22.4,15.1,11.5
"88",88,9.7,14.1,18.3,21.4,23.5,25.6,25.5,26.1,25.4,22.8,14.6,11.5
"89",89,9.5,14.3,18.4,22,23.6,25.7,25.5,26.2,25.4,22.7,14.8,11.5
"90",90,9.3,14.1,18,21.6,23.7,25.6,25.5,26.1,25.2,22.6,14.7,11.3
"91",91,9.1,14,17.9,21.9,23.7,25.7,25.6,26.3,25.4,22.6,14.7,11.4
"92",92,9.9,14.8,19.1,25.2,27.2,28.2,26.1,26.9,26.1,22.2,15.1,11.4
"93",93,9.4,13.8,18.1,23,25.7,27.1,25.8,26.5,25.5,21.8,14.3,10.8
"94",94,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"95",95,10.3,14.8,19.9,24.3,26.4,27.7,26.2,26.5,25.9,23.1,15.2,11.6
"96",96,10.3,14.8,19.6,23.8,25.9,27.2,26,26.2,25.7,23,15.1,11.7
"97",97,9.3,14.1,18.1,21.6,23.6,25.6,25.4,26.1,25.3,22.6,14.6,11.3
"98",98,9.5,14,18.1,22.9,25.4,27.1,25.8,26.5,25.7,21.8,14.5,10.9
"99",99,9.6,14.2,18.3,21.9,23.6,25.6,25.4,26.2,25.4,22.7,14.6,11.5
"100",100,9.6,14.2,18.3,21.9,23.6,25.6,25.4,26.2,25.4,22.7,14.6,11.5
"101",101,9.1,14,17.9,21.9,23.7,25.7,25.6,26.3,25.4,22.6,14.7,11.4
"102",102,9.5,14.3,18.4,22,23.6,25.7,25.5,26.2,25.4,22.7,14.8,11.5
"103",103,11,15.6,20,23.3,25.4,26.6,26.1,26.4,25.6,22.7,15.5,12.3
"104",104,9.7,14.3,18.3,21.9,24,26.1,25.7,26.3,25.5,22.8,14.8,11.5
"105",105,9.5,14,18.1,22.4,24.6,26.6,25.7,26.5,25.6,22,14.4,10.9
"106",106,9.7,14.3,18.3,21.9,24,26.1,25.7,26.3,25.5,22.8,14.8,11.5
"107",107,9.9,14.8,19.1,25.2,27.2,28.2,26.1,26.9,26.1,22.2,15.1,11.4
"108",108,10,15,19.2,25.6,27,27.9,25.9,26.8,26,22.4,15.1,11.5
"109",109,10.6,15.1,19.1,21.7,23.8,26,25.8,26.3,25.7,23.2,15.3,12.1
"110",110,9.6,14.2,18.3,21.8,23.6,25.6,25.4,26.1,25.4,22.8,14.6,11.5
"111",111,9.7,13.7,17.4,21.6,24.3,26.3,25.6,26,25,22.1,14.7,11.3
"112",112,9.4,14.1,18.3,21.5,23.6,25.5,25.3,26,25.3,22.7,14.6,11.3
"113",113,10,15.1,19.3,25.3,27.3,28.2,26,26.8,25.9,22.2,14.8,11.4
"114",114,10,15,19.2,25.6,27,27.9,25.9,26.8,26,22.4,15.1,11.5
"115",115,9.5,14.1,18.2,21.5,23.6,25.6,25.5,26.1,25.3,22.7,14.6,11.4
"116",116,9.1,14,18,21.5,23.7,25.5,25.4,26,25.2,22.6,14.5,11.2
"117",117,10.4,15.1,19.2,23.9,26.8,28.5,26.4,26.8,25.7,21.4,14.3,11.1
"118",118,9.1,14,18,21.5,23.7,25.5,25.4,26,25.2,22.6,14.5,11.2
"119",119,9.1,13.9,17.9,21.2,23.6,25.5,25.3,26,25.2,22.6,14.4,11.2
