Variable,Description,Type ,Unit,Mean,Median,Minimum,Maximum,STDEV,Missing_Values
A:q101_country,Select country,Text,,,,,,,0
A:q102_state,Select state,Text,,,,,,,0
A:q103_district,Select district,Text,,,,,,,0
A:q104_subDistrict,Select block/mandal/upzilla,Text,,,,,,,0
A:q105_village,Enter village,Text,,,,,,,0
A:q110_fName,Farmer's name,Text,,,,,,,0
A:q111_fGender,Gender of farmer,Text,,,,,,,0
A:q112_fEdu,Education level of farmer,Text,,,,,,,0
A:q113_aadharNum,Aadhar number of farmer,Text,,,,,,,0
A:q114_socialCategory,Social category of farmer,Text,,,,,,,0
A:q115_mobile,Mobile number of farmer,Text,,,,,,,0
A:q116_crop,Select the crop for the survey,Text,,,,,,,0
A:q117_season,Select the season of the crop,Text,,,,,,,0
A:q118_harvYear,Select the year in which crop was harvested,Text,,,,,,,0
cropCutDone,"Was crop cut done in farmer's plot for this crop (if yes, floowing responses)",Text,,,,,,,0
B:district,Select district,Text,,,,,,,464
B:block,Select block/subdistrict,Text,,,,,,,464
B:village,Enter village name,Text,,,,,,,464
B:farmerName,Name of farmer,Text,,,,,,,464
B:mobile,Mobile number of farmer,Text,,,,,,,464
B:q201_q1tagb,Total above ground biomass (kg) from 1st quadrant (2 X 2 sq m),Numeral,Kilogram (kg) per 4m2,3.65,3.56, 1.23 ,6.02,0.93,464
B:q202_q1gWeight,Grain weight (kg) from 1st quadrant,Numeral,Kilogram (kg) per 4m2,1.36,1.32,0.32,2.54,0.38,464
B:q203_q1gMoist,Grain moisture content from 1st quadrant,Numeral,Percent,13.6,14.0,10.0,14.0,1.4,464
B:q204_q2tagb,Total above ground biomass (kg) from 2nd quadrant (2 X 2 sq m),Numeral,Kilogram (kg) per 4m2,3.66,3.62,0.56,6.85,0.97,464
B:q205_q2gWeight,Grain weight (kg) from 2nd quadrant,Numeral,Kilogram (kg) per 4m2,1.36,1.33,0.00,2.70,0.39,464
B:q206_q2gMoist,Grain moisture content from 2nd quadrant,Numeral,Percent,13.3,14.0,10.0,14.0,1.4,464
B:q207_q3tagb,Total above ground biomass (kg) from 3rd quadrant (2 X 2 sq m),Numeral,Kilogram (kg) per 4m2,0.00,0.00,0.00,0.00,0.00,765
B:q208_q3gWeight,Grain weight (kg) from 3rd quadrant,Numeral,Kilogram (kg) per 4m2,0.00,0.00,0.00,0.00,0.00,765
B:q209_q3gMoist,Grain moisture content from 3rd quadrant,Numeral,Percent,0.0,0.0,0.0,0.0,0.0,765
C:q301_LLU,Select the local land unit used by farmer referring to the largest plot,Text,,,,,,,0
C:q302_acreConv,One LLU equals how many Acre,Numeral,Number,,,,,,0
C:q303_cultLand,Total area of operational land during the survey season in LLU,Numeral,Number,,,,,,0
C:q304_cropCultLand,Total area of selected crop cultivated in this season in LLU,Numeral,Number,,,,,,0
C:q305_cropLargestArea,Largest plot area of selected crop in this season in LLU,Numeral,Number,,,,,,0
C:q306_cropLarestAreaAcre,Largest plot area of selected crop in this season in Acre,Numeral,Acre,0.62,0.45,0.03,20.00,0.67,0
C:q307_largestPlotType,Is the largest plot for selected crop leased or owned,Text,,,,,,,0
D:q401_soilTexture,Soil texture of largest plot,Text,,,,,,,0
D:q402_drainClass,Drainage class of largest plot,Text,,,,,,,0
D:q403_soilPerception,Farmer's perception of soil quality of the largest plot,Text,,,,,,,0
D:q404_prevCrop,Previous major crop cultivated just before selected crop,Text,,,,,,,0
D:q405_prevCropTillage,What was the tillage type for previous crop ,Text,,,,,,,0
D:q406_prevCropHarvest,Enter date of previous crop harvest,Numeral,MM.DD.YYYY,,,,,,0
D:q407_cropResiduePcnt,What percentage of residue was retained from previous crop,Numeral,Percent,6.24,5.00,0.00,100.00,7.63,0
