list_name,name,label,crop
country,India,India,
country,Nepal,Nepal,
country,Bangladesh,Bangladesh,
,,,
fname_key,fname_key,fname_key,
,,,
yesno,yes,Yes,
yesno,no,No,
,,,
gender,male,Male,
gender,female,Female,
,,,
,,,
edu,noSchooling,No schooling,
edu,primary,Primary,
edu,matriculation,Matriculation,
edu,seniorSecondary,Senior secondary,
edu,bachelors,Bachelors,
edu,masters,Masters,
edu,phD,PhD,
,,,
socialCategory,SC,SC,
socialCategory,ST,ST,
socialCategory,OBC,OBC,
socialCategory,General,General,
socialCategory,Other,Other,
,,,
crop,Rice,Rice,
crop,Wheat,Wheat,
crop,Maize,Maize,
crop,Fallow,Fallow,
,,,
season,Aman,Aman,
season,Aus,Aus,
season,Boro,Boro,
season,Kharif,Kharif,
season,Rabi,Rabi,
,,,
year,2017,2017,
year,2018,2018,
year,2019,2019,
year,2020,2020,
year,2021,2021,
year,2022,2022,
year,2023,2023,
year,2024,2024,
year,2025,2025,
,,,
llu,Acre,Acre,
llu,Bigha,Bigha,
llu,Decimal,Decimal,
llu,Dhur,Dhur,
llu,Kattha,Kattha,
llu,Guntha,Guntha,
,,,
plotType,Owned,Owned,
plotType,Leased,Leased,
plotType,FarmedContract,Farmed contract,
,,,
soil,Light,Light,
soil,Medium,Medium,
soil,Heavy,Heavy,
,,,
drain,Upland,Upland,
drain,MediumLand,Medium land,
drain,LowLand,Low land,
drain,VeryLowLand,Very low land,
,,,
perception,High,High,
perception,Medium,Medium,
perception,Low,Low,
,,,
pCrop,Rice,Rice,
pCrop,Wheat,Wheat,
pCrop,Maize,Maize,
pCrop,Cotton,Cotton,
pCrop,Mungbean,Mungbean,
pCrop,IndianMustard,IndianMustard,
pCrop,Soybean,Soybean,
pCrop,Groundnut,Groundnut,
pCrop,Vegetables,Vegetables,
pCrop,Jowar,Jowar,
pCrop,Bajra,Bajra,
pCrop,Banana,Banana,
pCrop,Blackgram,Blackgram,
pCrop,Greengram,Greengram,
pCrop,Redgram,Redgram,
pCrop,Sunflower,Sunflower,
pCrop,Caster,Caster,
pCrop,Sugarcane,Sugarcane,
pCrop,Chilli,Chilli,
pCrop,Turmeric,Turmeric,
pCrop,Fallow,Fallow,
pCrop,GreenManure,GreenManure,
pCrop,PigeonPea,PigeonPea,
pCrop,Pulses,Pulses,
pCrop,Other,Other,
,,,
,,,
pTill,WetTillagePuddling,Puddling (wet tillage) (NOT applicable for Wheat),
pTill,DiscHarrow,Disc harrow,
pTill,TyneCultivator,Tyne cultivator,
pTill,FourWheelTracRotavator,4 wheel tractor rotavator,
pTill,TwoWheelTractRotavator,2 wheel tractor rotavator,
pTill,BullockPlough,Bullock drawn plough,
pTill,StripTillage,Strip tillage,
pTill,NoTillage,No tillage,
pTill,machineDSR,DSR machine,
pTill,handbroadcastDSR,DSR handbroadcasting,
pTill,Other,Other,
,,,
percent,0,0,
percent,5,5,
percent,10,10,
percent,20,20,
percent,40,40,
percent,60,60,
percent,80,80,
percent,100,100,
,,,
varType,Improved,Improved,Rice
varType,Hybrid,Hybrid,Rice
varType,Local,Local,Rice
varType,Unknown,Unknown,Rice
varType,Improved,Improved,Wheat
varType,Local,Local,Wheat
varType,Unknown,Unknown,Wheat
varType,Improved,Improved,Maize
varType,Hybrid,Hybrid,Maize
varType,Local,Local,Maize
varType,Unknown,Unknown,Maize
varType,Improved,Improved,Cotton
varType,Hybrid,Hybrid,Cotton
varType,Local,Local,Cotton
varType,Bt,Bt,Cotton
varType,Unknown,Unknown,Cotton
varType,Improved,Improved,Groundnut
varType,Hybrid,Hybrid,Groundnut
varType,Local,Local,Groundnut
varType,Unknown,Unknown,Groundnut
,,,
,,,
cropEst,ManualPuddled_Random,Manual puddled transplanted (Random),Rice
cropEst,ManualPuddled_Line,Manual puddled transplanted in line,Rice
cropEst,DirectBroadcast,Directly sown by broadcast method,Rice
cropEst,DirectSown_SeedDrill,Directly sown by seed drill,Rice
cropEst,DirectSown_Beushening,Directly sown followed by beushening,Rice
cropEst,MachineTransplanted_Puddled,Machine transplanted in puddled soil,Rice
cropEst,MachineTransplanted_NonPuddled,Machine transplanted in non - puddled soil,Rice
cropEst,Other,Other,Rice
cropEst,Broadcasting,Broadcasting,Wheat
cropEst,LineSowingAfterTillage,Line sowing after tillage,Wheat
cropEst,ZeroTillage,Zero tillage,Wheat
cropEst,SurfaceSeeding,Surface seeding,Wheat
cropEst,Broadcasting,Broadcasting,Maize
cropEst,ManualLineSowing,Manual line sowing,Maize
cropEst,SeedDrill,Seed drill,Maize
cropEst,Other,Other,Maize
cropEst,Broadcasting,Broadcasting,Cotton
cropEst,ManualLineSowing,Manual line sowing,Cotton
cropEst,SeedDrill,Seed drill,Cotton
cropEst,Other,Other,Cotton
cropEst,Broadcasting,Broadcasting,Groundnut
cropEst,ManualLineSowing,Manual line sowing,Groundnut
cropEst,SeedDrill,Seed drill,Groundnut
cropEst,Other,Other,Groundnut
,,,
,,,
,,,
,,,
nursFactor,CalendarDate,Calendar date,
nursFactor,PreMonsoonShowers,Arrival of pre-monsoon showers,
nursFactor,IrrigWaterAvailability,Irrigation water availability,
nursFactor,WeatherForecastInfo,Weather forecast information,
nursFactor,NeighboringFarmersPractice,Practices of neighboring farmers,
nursFactor,SeedAvailability,Seed availability,
nursFactor,Other,Other,
,,,
transFactor,CalendarDate,Calendar date,
transFactor,SeedlingAge,Seedling age,
transFactor,RainArrival,Arrival of rains,
transFactor,IrrigWaterAvailability,Irrigation water availability,
transFactor,LaborAvailability,Labor availability,
,,,
LandPrep,TyneCultivator,Tyne cultivator,
LandPrep,DiscHarrow,Disc harrow,
LandPrep,FourWhTractRotavator,4 wheel tractor rotavator,
LandPrep,TwoWhTractRotavator,2 wheel tractor rotavator,
LandPrep,BullockPlough,Bullock drawn plough,
LandPrep,StripTillage,Strip tillage,
LandPrep,NoTillage,No tillage,
,,,
rotYear,1,1,
