type,name,label,required,choice_filter,calculation,relevant,repeat_count,constraint,constraint_message,hint,default,appearance
deviceid,deviceid,,,,,,,,,,,
start,start,,,,,,,,,,,
end,end,,,,,,,,,,,
calculate,uniqueID,,,,"string(format-date-time(now(),'%Y%m%d%H%M%S3'))",,,,,,,
today,collectionDate,,,,,,,,,,,
note,wc,"


Hi ! Welcome to  
CROP YIELD & PRODUCTION PRACTICES SURVEY 
form. 

Kindly read the instructions carefully for each question before you fill in. 


Unless otherwise indicated, all responses correspond to information 
from __ the largest plot __
for selected crop on each farm ! 


Thank you for filling out !",,,,,,,,,,
note,consentDisclaimer,"Thank you for the opportunity to speak with you. I would like to interview you and your household for a survey. Our investigation aims at getting insight into different crop production practices & grain yield.

We are inviting you to be a participant in this study.  We value your opinion and there are no right or wrong answers to the questions we will be asking in the interview. All we ask is for your honest answer and opinion.  The interview takes approximately around forty minutes to complete. If you agree to participate, you can choose to stop at any time or to skip any questions you do not want to answer. Your answers will be completely confidential; we will not share information that identifies you with anyone and your name and location will be kept safe using a coding system. After entering the questionnaire into a database, we will also restrict access to all information such as your name which will link these responses to you so that you can not be identified and will remain completely anonymous.

Your participation will be highly appreciated.  The answers you give will help provide better information to policy-makers, development practitioners, agricultural extension agents, and program managers so that they can plan for better services that will respond to your needs.   If in the future you have any questions regarding study and the interview, or concerns or complaints we welcome you to ask our (the data collector) contact details.",,,,,,,,,,
select_one yesno,surveyConsent,Would you like to participate in the survey?,yes,,,,,,,,,quick
begin group,A,"Crop, Season, contact and location information",yes,,,"selected(${surveyConsent},'yes')",,,,,,
select_one_external country,q101_country,Select country,yes,,,,,,,,,quick
select_one_external state,q102_state,Select state / hub,yes,q101_country=${q101_country},,,,,,,,quick
select_one_external district,q103_district,Select district,yes,q101_country=${q101_country} and q102_state=${q102_state},,,,,,,,minimal
select_one_external subDistrict,q104_subDistrict,Select block / mandal / upazila / (rural) municipality,yes,q101_country=${q101_country} and q102_state=${q102_state} and q103_district=${q103_district},,,,,,,,minimal
text,q105_village,Enter village,yes,,,,,,,,,
text,q110_fName,Farmer's name,yes,,,,,,,based on Aadhar card for India,,
select_one gender,q111_fGender,Gender of ${q110_fName},yes,,,,,,,,,
select_one edu,q112_fEdu,Education level of ${q110_fName},yes,,,,,,,,,minimal
select_one socialCategory,q114_socialCategory,Social category of ${q110_fName},yes,,,"selected(${q101_country},'India')",,,,,,
text,q115_mobile,Mobile number of ${q110_fName},yes,,,,,string-length(.)=10,Mobile number should be 10 digits !,,,
select_one crop,q116_crop,Select the crop for the survey (single select),yes,,,,,,,,,
select_one season,q117_season,Select the season of the ${q116_crop},yes,,,,,,,,,
select_one year,q118_harvYear,Select the year in which ${q116_crop} was harvested,yes,,,"not(selected(${q116_crop},'Fallow'))",,".<=(format-date(now(),'%Y'))",No future year allowed to select !,,,
end group,,,,,,,,,,,,
,,,,,,,,,,,,
select_one yesno,cropCutDone,Was crop cut done in ${q110_fName} 's plot for ${q116_crop}?,yes,,,"selected(${surveyConsent},'yes') and not(selected(${q116_crop},'Fallow'))",,,,,,
,,,,,,,,,,,,
begin group,B,Crop cut details,yes,,,"selected(${surveyConsent},'yes') and selected(${cropCutDone},'yes')",,,,,,
select_one fname_key,fname,"Select the farmer. The name you select here should be 
matching linked with the farmer name that you entered before",yes,,,"selected(${surveyConsent},'yes') and selected(${cropCutDone},'yes')",,,,,,"search('cropcutdata','startswith','fname_key',${fname})"
calculate,district,,,,"pulldata('cropcutdata', 'district', 'fname_key', ${fname})",,,,,,,
calculate,farmerName,,,,"pulldata('cropcutdata', 'farmer', 'fname_key', ${fname})",,,,,,,
calculate,block,,,,"pulldata('cropcutdata', 'block', 'fname_key', ${fname})",,,,,,,
calculate,village,,,,"pulldata('cropcutdata', 'village', 'fname_key', ${fname})",,,,,,,
calculate,mobile,,,,"string(pulldata('cropcutdata', 'mobile', 'fname_key', ${fname}))",,,,,,,
calculate,q201_q1tagb,,,,"number(pulldata('cropcutdata', 'q1tagb', 'fname_key', ${fname}))",,,,,,,
calculate,q202_q1gWeight,,,,"number(pulldata('cropcutdata', 'q1gweight', 'fname_key', ${fname}))",,,,,,,
calculate,q203_q1gMoist,,,,"number(pulldata('cropcutdata', 'q1gmoist', 'fname_key', ${fname}))",,,,,,,
calculate,q204_q2tagb,,,,"number(pulldata('cropcutdata', 'q2tagb', 'fname_key', ${fname}))",,,,,,,
calculate,q205_q2gWeight,,,,"number(pulldata('cropcutdata', 'q2gweight', 'fname_key', ${fname}))",,,,,,,
calculate,q206_q2gMoist,,,,"number(pulldata('cropcutdata', 'q2gmoist', 'fname_key', ${fname}))",,,,,,,
calculate,q207_q3tagb,,,,"number(pulldata('cropcutdata', 'q3tagb', 'fname_key', ${fname}))",,,,,,,
calculate,q208_q3gWeight,,,,"number(pulldata('cropcutdata', 'q3gweight', 'fname_key', ${fname}))",,,,,,,
calculate,q209_q3gMoist,,,,"number(pulldata('cropcutdata', 'q3gmoist', 'fname_key', ${fname}))",,,,,,,
calculate,grainYield_tonPerHa,,,,"number(pulldata('cropcutdata', 'grainYld_tonPerHa', 'fname_key', ${fname}))",,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
note,ccCheck,"You have pulled data for ${fname} who resides in village: ${village}; 
block : ${block}; 
district : ${district} ;
contact number is : ${mobile} ;
grain yield is : ${grainYield_tonPerHa} ton per hectare

If all the information entered is true then proceed ahead else go back and recheck the farmer's name on which you did crop cut",,,,,,,,,,
end group,,,,,,,,,,,,
,,,,,,,,,,,,
begin group,C,Land holding characteristics,yes,,,"selected(${surveyConsent},'yes')",,,,,,
select_one llu,q301_LLU,Select the local land unit used by ${q110_fName} referring to the largest plot (single select),yes,,,,,,,,,
decimal,q302_acreConv,One acre equals how many ${q301_LLU} ?,yes,,,,,,,,,
decimal,q303_cultLand,Total area of operational land during this survey season (owned and leased) in ${q301_LLU},yes,,,,,,,,,
decimal,q304_cropCultLand,Total area of ${q116_crop} cultivated in this season in ${q301_LLU},yes,,,,,.<=${q303_cultLand},Should be less than equal to total operational land !,,,
decimal,q305_cropLargestArea,Largest plot area of ${q116_crop} in this season in ${q301_LLU},yes,,,,,.<=${q304_cropCultLand},Should be less than equal to total crop cultivated land !,,,
calculate,q306_cropLarestAreaAcre,,,,"round(${q305_cropLargestArea} div ${q302_acreConv},3)",,,,,,,
select_one plotType,q307_largestPlotType,Is the largest plot [${q305_cropLargestArea}__${q301_LLU} ] for ${q116_crop} leased or owned?,yes,,,,,,,,,
end group,,,,,,,,,,,,
,,,,,,,,,,,,
begin group,D,Site characteristics and crop establishment in ${q305_cropLargestArea}__${q301_LLU}  for ${q116_crop},yes,,,"selected(${surveyConsent},'yes')",,,,,,
select_one soil,q401_soilTexture,Soil texture of ${q305_cropLargestArea}__${q301_LLU}  for ${q116_crop} plot,yes,,,,,,,,,
select_one drain,q402_drainClass,Drainage class of ${q305_cropLargestArea}__${q301_LLU}  for for ${q116_crop} plot,yes,,,,,,,,,
select_one perception,q403_soilPerception,Farmer’s perception of soil quality on the plot of ${q305_cropLargestArea}__${q301_LLU} ,yes,,,,,,,,,
select_one pCrop,prevCrop,Previous major crop cultivated just before ${q116_crop} in ${q305_cropLargestArea}__${q301_LLU} ,yes,,,,,,,,,minimal
text,otherPrevCrop,Enter other previous crop just before ${q116_crop} in ${q305_cropLargestArea}__${q301_LLU} ,yes,,,"selected(${prevCrop},'Other')",,,,,,
calculate,q404_prevCrop,,,,"concat(${prevCrop},${otherPrevCrop})",,,,,,,
select_multiple pTill,prevCropTillage,What was the tillage type for previous crop ${q404_prevCrop} in ${q305_cropLargestArea}__${q301_LLU} ? (multiple select),yes,,,"(not(selected(${q404_prevCrop}, 'Fallow')))",,"(selected(${prevCropTillage}, 'NoTillage') and count-selected(.) = 1) or (not(selected(${prevCropTillage}, 'NoTillage')))","You cannot select ""No Tillage"" and other response at the same time !",,,
text,otherPrevCropTillage,Enter other previous crop ${q404_prevCrop} tillage type in ${q305_cropLargestArea}__${q301_LLU},yes,,,"(not(selected(${q404_prevCrop}, 'Fallow'))) and selected(${prevCropTillage},'Other')",,,,,,
calculate,q405_prevCropTillage,,,,"concat(${prevCropTillage},${otherPrevCropTillage})",,,,,,,
date,pCHarv,Enter date of previous crop ${q404_prevCrop} HARVEST in ${q305_cropLargestArea}__${q301_LLU},yes,,,"not(selected(${q404_prevCrop}, 'Fallow'))",,".<=(format-date(now(),'%Y%m%d'))",Future date NOT allowed to select !,,,
calculate,q406_prevCropHarvest,,yes,,"format-date-time(${pCHarv},'%Y-%m-%d')","not(selected(${q404_prevCrop}, 'Fallow'))",,,,,,
select_one percent,q407_cropResiduePcnt,What percentage of residue was retained from previous crop ${q404_prevCrop}  in ${q305_cropLargestArea}__${q301_LLU}?,yes,,,"not(selected(${q404_prevCrop}, 'Fallow'))",,,,,,minimal
select_one yesno,q408_residueBurnt,Were previous crop ${q404_prevCrop} residue burnt in ${q305_cropLargestArea}__${q301_LLU}?,yes,,,"not(selected(${q404_prevCrop}, 'Fallow'))",,,,,,
select_one varType,q409_varType,What is the variety type of ${q116_crop}?,yes,crop=${q116_crop},,"not(selected(${q116_crop},'Fallow'))",,,,,,
select_one variety,varName,Variety name of ${q116_crop},yes,crop=${q116_crop},,"not(selected(${q116_crop},'Fallow'))",,,,,,autocomplete
text,othervarName,Enter name of other variety for ${q116_crop},yes,,,"selected(${varName},'Other')",,,,,,
calculate,q410_varName,,,,"concat(${varName},${othervarName})",,,,,,,
,,,,,,,,,,,,
select_multiple LandPrep,q411_LandPrep,"Land preparation method in ${q305_cropLargestArea}__${q301_LLU} __${q116_crop} plot (multiple select)
Note: You have selected ${q410_varName} variety",yes,,,"not(selected(${q116_crop},'Fallow'))",,"(selected(${q411_LandPrep}, 'NoTillage') and count-selected(.) = 1) or (not(selected(${q411_LandPrep}, 'NoTillage')))","You cannot select ""No Tillage"" and other response at the same time !",,,minimal
select_one rotYear,q412_RotUseYear,"If tillage by rotavator, number of years of continuous use in ${q305_cropLargestArea}__${q301_LLU} plot",yes,,,"selected(${q411_LandPrep},'FourWhTractRotavator') or selected(${q411_LandPrep},'TwoWhTractRotavator')",,,,,,minimal
select_one cropEst,cropEst,${q116_crop} establishment method in ${q305_cropLargestArea}__${q301_LLU} (single select),yes,crop=${q116_crop},,"not(selected(${q116_crop},'Fallow'))",,,,,,
text,otherEst,Enter other establishment method for $(q116_crop} in ${q305_cropLargestArea}__${q301_LLU},yes,crop=${q116_crop},,"selected(${cropEst},'Other')",,,,,,
calculate,q413_CropEst,,,,"concat(${cropEst},${otherEst})",,,,,,,
date,riceNursery,"If rice transplanted, date of nursery establishment for ${q305_cropLargestArea}__${q301_LLU} plot",yes,,,"selected(${q116_crop},'Rice') and selected(${cropEst},'ManualPuddled_Random') or selected(${cropEst},'ManualPuddled_Line') or selected(${cropEst},'MachineTransplanted_Puddled') or selected(${cropEst},'MachineTransplanted_NonPuddled')",,".<=(format-date(now(),'%Y%m%d'))",Future date NOT allowed to select !,,,
calculate,q414_rcNursEstDate,,yes,,"format-date-time(${riceNursery},'%Y-%m-%d')","selected(${q116_crop},'Rice') and selected(${cropEst},'ManualPuddled_Random') or selected(${cropEst},'ManualPuddled_Line') or selected(${cropEst},'MachineTransplanted_Puddled') or selected(${cropEst},'MachineTransplanted_NonPuddled')",,,,,,
date,seedingSowingTransplanting,"Previous major crop ${q404_prevCrop} harvesting date from this plot: ${q406_prevCropHarvest}
Date of seeding / transplanting / direct sowing (if DSR rice) / sowing (wheat) in ${q305_cropLargestArea}__${q301_LLU} plot for ${q116_crop}",yes,,,"not(selected(${q116_crop},'Fallow'))",,".<=(format-date(now(),'%Y%m%d'))",Future date NOT allowed to select !,,,
calculate,q415_seedingSowingTransDate,,yes,,"format-date-time(${seedingSowingTransplanting},'%Y-%m-%d')",,,,,,,
select_multiple whDelay,whSDelayReason,"If wheat planting was delayed past November 30 in this season, why? Sowing date : ${q415_seedingSowingTransDate} (multiple select)",yes,,,"selected(${q116_crop},'Wheat') and date(${q415_seedingSowingTransDate}) > date('2018-11-30')",,,,,,minimal
text,whOtherSDelay,Enter other reason in delay of sowing this season,yes,,,"selected(${whSDelayReason},'Other')",,,,,,
calculate,q416_whSDelayReason,,,,"concat(${whSDelayReason},${whOtherSDelay})",,,,,,,
select_multiple whComDelay,whComDelayReason,"If wheat planting is commonly delayed past November 30th in most years, why? (multiple select)",yes,,,"selected(${q116_crop},'Wheat') and date(${q415_seedingSowingTransDate}) > date('2018-11-30')",,"(selected(${whComDelayReason}, 'NoDelay') and count-selected(.) = 1) or (not(selected(${whComDelayReason}, 'NoDelay')))","You cannot select ""No Delay"" and other response at the same time !",,,minimal
text,whOtherComDelay,Enter other reason if wheat planting is commonly delayed past Nov 30th in most year.,yes,,,"selected(${whComDelayReason},'Other')",,,,,,
calculate,q417_whComDelayReason,,,,"concat(${whComDelayReason},${whOtherComDelay})",,,,,,,
select_multiple nursFactor,nursDetFactor,What mostly determines the timing of rice nursery establishment? (multiple select),yes,,,"selected(${q116_crop},'Rice') and selected(${cropEst},'ManualPuddled_Random') or selected(${cropEst},'ManualPuddled_Line') or selected(${cropEst},'MachineTransplanted_Puddled') or selected(${cropEst},'MachineTransplanted_NonPuddled')",,,,,,minimal
text,otherNursDetFactor,Enter other factor for timing of rice nursery establishment,yes,,,"selected(${nursDetFactor},'Other')",,,,,,
calculate,q418_nursDetFactor,,,,"concat(${nursDetFactor},${otherNursDetFactor})",,,,,,,
