 ,  ,"[0.203,0.29]","(0.29,0.323]","(0.323,0.359]","(0.359,0.51]"
,N obs,1575,1575,1574,1575
,%,25.00,25.00,24.99,25.00
Jan_tmin_18,mean_na,9.77,9.72,9.71,9.70
,sd_na,0.28,0.25,0.26,0.27
Feb_tmin_18,mean_na,13.87,13.81,13.85,13.82
,sd_na,0.60,0.63,0.55,0.50
Mar_tmin_18,mean_na,18.10,18.00,18.08,18.07
,sd_na,0.94,1.01,0.88,0.75
Apr_tmin_18,mean_na,22.24,22.20,22.32,22.25
,sd_na,1.18,1.44,1.43,1.22
Jan_tmax_18,mean_na,22.38,22.40,22.37,22.37
,sd_na,0.42,0.48,0.49,0.43
Feb_tmax_18,mean_na,26.97,26.92,26.96,27.07
,sd_na,0.52,0.49,0.49,0.42
Mar_tmax_18,mean_na,32.60,32.55,32.63,32.73
,sd_na,0.73,0.75,0.75,0.66
Apr_tmax_18,mean_na,35.49,35.44,35.58,35.93
,sd_na,1.58,1.56,1.58,1.35
I.q5505_weedSeverity_num,mean_na,2.96,2.73,2.67,2.50
,sd_na,0.54,0.71,0.76,0.87
I.q5509_diseaseSeverity_num,mean_na,1.56,1.50,1.46,1.42
,sd_na,0.74,0.70,0.69,0.68
I.q5506_insectSeverity_num,mean_na,1.72,1.66,1.57,1.58
,sd_na,0.77,0.75,0.75,0.76
Nperha,mean_na,125.94,128.01,131.22,132.32
,sd_na,38.78,36.97,34.67,36.64
P2O5perha,mean_na,57.69,57.67,60.66,59.84
,sd_na,19.95,19.52,19.26,19.72
variety_type_NMWV,mean_na,0.28,0.44,0.54,0.73
,sd_na,0.45,0.50,0.50,0.45
G.q5305_irrigTimes,mean_na,1.92,2.18,2.38,2.64
,sd_na,0.63,0.73,0.72,0.74
Sowing_Date_Schedule_rating_num,mean_na,2.66,2.76,2.88,3.23
,sd_na,0.93,1.00,1.00,1.03
A.q111_fGenderdum,mean_na,0.03,0.03,0.03,0.03
,sd_na,0.17,0.18,0.17,0.17
temp,mean_na,26.00,26.04,26.06,26.12
,sd_na,0.33,0.32,0.30,0.28
precip,mean_na,934.70,967.71,972.96,959.18
,sd_na,248.76,259.92,259.53,249.14
wc2.1_30s_elev,mean_na,68.55,66.93,65.86,66.57
,sd_na,21.42,21.43,21.73,23.32
M.q708_marketDistance,mean_na,5.07,4.28,4.21,4.55
,sd_na,4.73,3.93,3.67,3.73
C.q306_cropLarestAreaHA,mean_na,0.10,0.16,0.24,0.45
,sd_na,0.05,0.08,0.17,0.36
A.q112_fEdu_new_num,mean_na,1.20,1.31,1.56,1.76
,sd_na,1.18,1.26,1.33,1.41
Caste_marginalized,mean_na,0.84,0.82,0.72,0.66
,sd_na,0.37,0.39,0.45,0.47
Plot_owned,mean_na,0.75,0.77,0.81,0.86
,sd_na,0.43,0.42,0.39,0.35
nitrogen_0.5cm,mean_na,1.62,1.62,1.61,1.58
,sd_na,0.23,0.21,0.23,0.21
sand_0.5cm,mean_na,30.41,29.97,29.68,29.47
,sd_na,3.10,3.17,3.15,2.75
soc_5.15cm,mean_na,12.86,12.96,12.87,12.49
,sd_na,2.36,2.25,2.41,2.43
