.rownames,V1,V2,V3,V4,V5,V6
 ,,,targeted_policy_val_vs_irrig1_perc,targeted_policy_val_vs_irrig2_perc,targeted_policy_val_vs_irrig3_perc,targeted_policy_val_vs_irrig4_perc
  ,N obs,%,median_na,median_na,median_na,median_na
One / 1,1,0.03,0.00,-78.51,-96.31,-119.55
One / 3,52,1.38,12.42,14.80,0.00,-18.85
One / 4,461,12.19,20.55,35.02,21.03,0.00
Two / 1,2,0.05,0.00,23.50,-36.22,-63.06
Two / 3,125,3.31,30.16,17.12,0.00,-19.72
Two / 4,1727,45.68,51.37,33.24,20.21,0.00
Three / 1,8,0.21,0.00,-12.78,21.21,-41.77
Three / 3,115,3.04,15.53,2.03,0.00,-29.00
Three / 4,1090,28.83,50.95,30.51,23.05,0.00
Fourplus / 1,3,0.08,0.00,-14.58,-26.30,61.15
Fourplus / 3,20,0.53,27.94,11.26,0.00,-53.35
Fourplus / 4,177,4.68,20.35,1.29,-9.45,0.00
