.rownames,V1,V2,V3,V4,V5,V6
 ,,,targeted_policy_val_vs_irrig1_perc,targeted_policy_val_vs_irrig2_perc,targeted_policy_val_vs_irrig3_perc,targeted_policy_val_vs_irrig4_perc
  ,N obs,%,median_na,median_na,median_na,median_na
One / 1,0,0.00,,,,
One / 3,22,0.60,14.40,16.11,0.00,-22.82
One / 4,436,11.82,23.65,36.20,21.30,0.00
Two / 1,7,0.19,0.00,-1.21,-17.50,-40.54
Two / 3,53,1.44,34.72,21.93,0.00,-24.69
Two / 4,1813,49.15,53.86,32.63,20.94,0.00
Three / 1,18,0.49,0.00,-11.95,-18.33,-38.90
Three / 3,19,0.52,-8.39,-23.43,0.00,-63.82
Three / 4,1117,30.28,52.06,30.49,21.70,0.00
Fourplus / 1,3,0.08,0.00,-12.14,-19.25,140.59
Fourplus / 3,2,0.05,29.71,13.22,0.00,959.60
Fourplus / 4,199,5.39,10.02,-7.75,-16.36,0.00
