, ,  ,"[0.379,0.626]","(0.626,0.682]","(0.682,0.735]","(0.735,0.903]",,,
1,,N obs,1845,1844,1844,1845,,,
2,,%,25.01,24.99,24.99,25.01,,,
3,Jan_tmin_18,mean_na,0.13,0,-0.07,-0.06,,,-0.19
4,,sd_na,1.07,1.01,0.94,0.97,,,-0.1
5,Feb_tmin_18,mean_na,-0.08,-0.1,-0.02,0.19,,,0.27
6,,sd_na,1,0.98,0.97,1.03,,,0.03
7,Mar_tmin_18,mean_na,-0.16,-0.1,0.01,0.25,,,0.41
8,,sd_na,1,0.99,0.97,0.98,,,-0.02
9,Apr_tmin_18,mean_na,-0.3,-0.11,0.08,0.33,,,0.63
10,,sd_na,0.92,0.96,1.01,1,,,0.08
11,Jan_tmax_18,mean_na,0.36,0.12,-0.13,-0.35,,,-0.71
12,,sd_na,1.02,0.99,0.98,0.86,,,-0.16
13,Feb_tmax_18,mean_na,0.06,0.04,-0.08,-0.02,,,-0.08
14,,sd_na,0.92,1.01,1.04,1.02,,,0.1
15,Mar_tmax_18,mean_na,-0.19,-0.03,0.01,0.22,,,0.41
16,,sd_na,0.89,1.02,1.03,1.01,,,0.12
17,Apr_tmax_18,mean_na,-0.21,-0.04,0.01,0.24,,,0.45
18,,sd_na,0.91,1,1.04,0.99,,,0.08
19,I.q5505_weedSeverity_num,mean_na,0.07,-0.01,-0.03,-0.03,,,-0.1
20,,sd_na,0.99,1.01,1.03,0.97,,,-0.02
21,I.q5509_diseaseSeverity_num,mean_na,0.08,-0.03,-0.03,-0.03,,,-0.11
22,,sd_na,1.03,0.98,1,0.98,,,-0.05
23,I.q5506_insectSeverity_num,mean_na,0.02,-0.04,0.03,-0.01,,,-0.03
24,,sd_na,0.99,0.98,1.02,1,,,0.01
25,Nperha,mean_na,-0.76,-0.25,0.29,0.72,,,1.48
26,,sd_na,0.91,0.81,0.83,0.76,,,-0.15
27,P2O5perha,mean_na,-0.44,-0.13,0.16,0.41,,,0.85
28,,sd_na,0.84,0.91,0.99,1.04,,,0.2
29,variety_type_NMWV,mean_na,-0.16,0.04,0.08,0.04,,,0.2
30,,sd_na,0.99,1,0.99,1,,,0.01
31,G.q5305_irrigTimes,mean_na,-0.24,-0.09,0.09,0.24,,,0.48
32,,sd_na,1,0.95,0.96,1.03,,,0.03
33,A.q111_fGenderdum,mean_na,-0.02,-0.01,-0.03,0.06,,,0.08
34,,sd_na,0.93,0.97,0.93,1.15,,,0.22
35,temp,mean_na,-0.6,0.05,0.21,0.34,,,0.94
36,,sd_na,1.19,0.92,0.83,0.73,,,-0.46
37,precip,mean_na,0.15,-0.08,-0.04,-0.03,,,-0.18
38,,sd_na,1.18,0.99,0.92,0.88,,,-0.3
39,wc2.1_30s_elev,mean_na,-0.27,0,0.02,0.26,,,0.53
40,,sd_na,1.02,1.02,0.96,0.93,,,-0.09
41,M.q708_marketDistance,mean_na,-0.01,0.02,0.05,-0.06,,,-0.05
42,,sd_na,0.95,0.95,1.05,1.04,,,0.09
43,C.q306_cropLarestAreaHA,mean_na,0.2,0.09,-0.01,-0.28,,,-0.48
44,,sd_na,1.16,1.04,0.93,0.75,,,-0.41
45,A.q112_fEdu_new_num,mean_na,0.06,0.03,0.01,-0.1,,,-0.16
46,,sd_na,1.03,1.03,0.99,0.94,,,-0.09
47,Caste_marginalized,mean_na,-0.02,-0.03,-0.02,0.07,,,0.09
48,,sd_na,1.01,1.02,1.01,0.95,,,-0.06
49,Plot_owned,mean_na,-0.01,0.05,0.01,-0.05,,,-0.04
50,,sd_na,1.01,0.95,0.99,1.04,,,0.03
51,nitrogen_0.5cm,mean_na,0.12,-0.03,-0.04,-0.06,,,-0.18
52,,sd_na,1.07,0.99,0.94,0.99,,,-0.08
53,sand_0.5cm,mean_na,0.26,0.06,-0.06,-0.25,,,-0.51
54,,sd_na,1.03,1.01,0.92,0.97,,,-0.06
55,soc_5.15cm,mean_na,0.38,0.02,-0.1,-0.3,,,-0.68
56,,sd_na,0.93,1.01,0.96,0.97,,,0.04
