, ,  ,"[-0.281,-0.173]","(-0.173,0.00833]","(0.00833,0.0502]","(0.0502,0.139]",,,
1,,N obs,1431,1430,1430,1430,,,
2,,%,25.01,25,25,25,,,
3,Jan_tmin_18,mean_na,0.21,-0.08,-0.13,0,,,-0.21
4,,sd_na,0.84,1.01,1.16,0.94,,,0.1
5,Feb_tmin_18,mean_na,0.07,0.19,0.23,-0.5,,,-0.57
6,,sd_na,0.64,0.86,1.14,1.1,,,0.46
7,Mar_tmin_18,mean_na,-0.01,0.23,0.3,-0.52,,,-0.51
8,,sd_na,0.67,0.83,1.09,1.12,,,0.45
9,Apr_tmin_18,mean_na,-0.41,0.39,0.36,-0.34,,,0.07
10,,sd_na,0.8,1.01,0.95,0.93,,,0.13
11,Jan_tmax_18,mean_na,0.24,-0.39,-0.24,0.39,,,0.15
12,,sd_na,1.12,0.85,0.85,0.93,,,-0.19
13,Feb_tmax_18,mean_na,-0.33,-0.2,0.38,0.14,,,0.47
14,,sd_na,0.82,1.23,0.99,0.72,,,-0.1
15,Mar_tmax_18,mean_na,-0.59,0,0.53,0.07,,,0.66
16,,sd_na,0.64,1.12,1.04,0.79,,,0.15
17,Apr_tmax_18,mean_na,-0.6,-0.11,0.55,0.16,,,0.76
18,,sd_na,0.72,1.19,0.91,0.73,,,0.01
19,I.q5505_weedSeverity_num,mean_na,0.06,0.13,0.03,-0.21,,,-0.27
20,,sd_na,0.97,0.95,1.02,1.03,,,0.06
21,I.q5509_diseaseSeverity_num,mean_na,0.01,-0.16,0.06,0.09,,,0.08
22,,sd_na,1.01,0.91,1.03,1.04,,,0.03
23,I.q5506_insectSeverity_num,mean_na,0.12,-0.17,0,0.06,,,-0.06
24,,sd_na,1.01,0.94,1,1.02,,,0.01
25,Nperha,mean_na,-0.19,-0.02,0.06,0.15,,,0.34
26,,sd_na,0.96,0.93,1.05,1.03,,,0.07
27,P2O5perha,mean_na,0.09,-0.18,-0.04,0.14,,,0.05
28,,sd_na,1,1,0.98,0.98,,,-0.02
29,G.q5305_irrigTimes,mean_na,0.02,0.09,0.06,-0.16,,,-0.18
30,,sd_na,0.96,0.91,1.05,1.05,,,0.09
31,Sowing_Date_Schedule_rating_num,mean_na,0.3,-0.07,-0.32,0.09,,,-0.21
32,,sd_na,1.06,0.93,0.97,0.93,,,-0.13
33,A.q111_fGenderdum,mean_na,0.04,-0.06,-0.01,0.03,,,-0.01
34,,sd_na,1.09,0.83,0.98,1.08,,,-0.01
35,temp,mean_na,-0.17,-0.03,0.06,0.14,,,0.31
36,,sd_na,1.03,1.01,0.96,0.98,,,-0.05
37,precip,mean_na,0.11,0.02,-0.05,-0.08,,,-0.19
38,,sd_na,1.06,1.02,0.95,0.96,,,-0.1
39,wc2.1_30s_elev,mean_na,-1.01,-0.15,0.5,0.67,,,1.68
40,,sd_na,0.25,0.69,0.9,0.94,,,0.69
41,M.q708_marketDistance,mean_na,0.19,-0.09,-0.09,-0.02,,,-0.21
42,,sd_na,1.2,1.04,0.84,0.85,,,-0.35
43,C.q306_cropLarestAreaHA,mean_na,-0.01,-0.06,0,0.08,,,0.09
44,,sd_na,0.97,0.95,1.03,1.05,,,0.08
45,A.q112_fEdu_new_num,mean_na,-0.03,0.16,0.07,-0.2,,,-0.17
46,,sd_na,1.03,1.01,1.01,0.92,,,-0.11
47,Caste_marginalized,mean_na,0.01,-0.03,-0.06,0.07,,,0.06
48,,sd_na,0.99,1.02,1.03,0.95,,,-0.04
49,Plot_owned,mean_na,-0.02,0.01,0.03,-0.02,,,0
50,,sd_na,1.01,0.99,0.98,1.02,,,0.01
51,nitrogen_0.5cm,mean_na,0.59,-0.13,-0.09,-0.37,,,-0.96
52,,sd_na,0.86,0.81,0.95,1.08,,,0.22
53,sand_0.5cm,mean_na,0.17,-0.18,-0.33,0.35,,,0.18
54,,sd_na,0.63,0.84,1.1,1.18,,,0.55
55,soc_5.15cm,mean_na,0.81,-0.31,-0.45,-0.05,,,-0.86
56,,sd_na,0.72,0.95,0.98,0.81,,,0.09
